id;nom;prenom;nb_point;date_heure_inscription;email
1;Burundi Frozen Concrete;Borders;32663;2022-02-24T18:32:55;Maud_Fournier@gmail.com
2;Jewelery project;Persevering Grocery;1717;2022-02-25T14:43:41;Albert.Girard36@hotmail.fr
3;SSL;set;66489;2022-02-25T04:11:13;Alain.Pierre@hotmail.fr
4;e-business Granite drive;context-sensitive strategic calculate;92707;2022-02-25T09:09:51;Paulette.Perez@yahoo.fr
5;granular Garden;Clothing Japon;72502;2022-02-24T21:48:08;Georges18@yahoo.fr
6;Cambridgeshire;incubate quantifying sticky;96726;2022-02-24T17:13:25;Anne11@hotmail.fr
7;installation;Loan;60737;2022-02-25T02:42:21;Jules10@yahoo.fr
8;Lorraine tangible incremental;FTP;3736;2022-02-25T06:39:24;Franois38@gmail.com
9;framework Loan synthesizing;Dirham Tasty;29238;2022-02-24T18:36:26;Agrippine.Andre@hotmail.fr
10;communities grid-enabled Open-source;GB;58470;2022-02-25T15:13:52;Aleaume_Giraud41@yahoo.fr
